,job,company,location,job_type,job_function,industry,size,employees,description,salaries
83,Amazon Picker/Packer - Earn up to $16.25/hr!,"Amazon Workforce Staffing
3.9
★","Hoboken, NJ",Part-time,Packer,Information Technology,10000+ Employees,"['Software Development Engineer II', 'Software Development Engineer', 'Software Development Engineer I', 'Warehouse Associate', 'Area Manager']","Seasonal Delivery Warehouse Team Member
Location:
Elizabeth, NJ and Avenel, NJ
Job opportunities vary by location. We update postings daily with open positions.
Hourly pay rate: $15.25 - $16.25

Immediate openings available now.

Amazon remains open as an essential business to serve our communities delivering critical supplies directly to the doorsteps of people who need them. Find out what Amazon is doing to provide a safe environment for employees at this time on our COVID-19 FAQ page.
Join Amazon and become part of the dedicated team that gets orders ready for people relying on Amazon’s service. Earn a competitive wage while learning new skills. Stay active in this fast-paced warehouse environment.

Depending on your location, you’ll have the option to choose from part-time and full-time roles with early morning, day, and night shifts. Choose the role and shift times that work best for you.

What this job will be like:
Be on the last stop before we deliver customer smiles! Delivery Station Team Members receive trucks full of orders then prepare them for delivery. As part of this team, you'll load conveyor belts and transport and stage deliveries to be picked up by drivers. Plus, you'll get to use the latest Amazon technology, like smartphones and handheld devices, to scan and sort the orders. These duties can rotate throughout the day, making each day a little different.
Reasons you’ll love working here:
Health and safety is the top priority: We continue to consult with medical and health experts, and take all recommended precautions in our buildings to keep people healthy.
Earn more: You can expect a competitive wage and reliable pay check when you work for Amazon.
Career development: Many of our entry-level warehouse employees become leaders in operations, HR, and other areas. See where your Amazon journey can take you.
Teamwork environment: Work is more fun when you are part of a great team.
Variety every day: Your days will keep you busy with different types of work.

Basic qualifications:
High school or equivalent diploma

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.","['$148,949', '$125,679', '$119,982', '$15.43/hr', '$60,276']"
84,Senior Warehouse Associate,"Tronex International Incorporated
1.7
★","Mount Olive, NJ",Full-time,Warehouse Worker,Health Care,51 to 200 Employees,"['Customer Service Representative', 'Business Analyst', 'Sales Representative', 'Engineer', 'Executive Assistant']","Established in 1989, Tronex International, Inc., Mt. Olive, New Jersey, is a world-class manufacturing, system distribution and sales/marketing enterprise. As an award-winning brand of innovative Personal Protective Equipment (PPE), Tronex delivers optimal cross-contamination control and infection-prevention solutions for major Healthcare, Foodservice, Hospitality, Manufacturing, Retail, and Government organizations.

Our advanced PPE offerings include full lines of infection control - disposable hand and body protection. We invite you to visit our website at www.tronexcompany.com to view our complete product solutions.

Job Responsibilities::
The following reflects the essential functions for this position, but does not restrict the tasks that may be assigned:
Picking orders according to customer POs
Receiving container loads. Unload incoming freight and verify accuracy of Bill of Lading. Verify all received material to packing slip and receiving report for accuracy
Ensures all shipping/receiving documents and functions are completed accurately and timely
Operate forklift and electric pallet jack to assemble, stage, and load orders in a safe and efficient manner
Ability to work in a fast-paced distribution environment while meeting established productivity and accuracy standards
Maintain a safe, clean working environment
Job Requirements/Qualifications:
High School Diploma minimum
Minimum of three years warehouse work or relevant experience
Previous experience with Warehouse Management Systems (WMS) such as RAMP
Must be able to operate a variety of material handling equipment including forklifts and pallet jacks. Forklift certification is a plus
Must be self-motivated and able to work in a team-oriented environment with an emphasis on total customer satisfaction
Excellent work ethics and integrity
Performs additional duties as directed
Tronex International, Inc., is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard for race, religion, color, national origin, sex, age, status as a protected veteran, among other things, or status as a qualified individual with disability.","['$52,610', '$57K - $62K', '$41K - $44K', '$74K - $79K', '$13 - $15']"
85,OTR Drivers! CDL A - Teams $0.80cpm and Solo $0.60cpm Hiring,"Nationwide Cargo Inc.
4.5
★","New York, NY",Full-time,Truck Driver,N/A,1 to 50 Employees,"['Driver', 'OTIS']","Job Description

Experience:
Truck driving: 2 years (Preferred)
Over the road: 2 years (Preferred)
Must be 25 years of age or older
License:
CDL A
Rates:
Teams $0.80cpm
Solo Dry Van $0.60cpm
Solo Refrigerated $0.60cpm
Additional Compensation:
Safety Bonus
Referral Bonus
Pay Frequency:
Weekly with direct deposit
Benefits:
Occupational Accidental Insurance
Life Insurance Policy
Pet policy
*All miles and all stops paid*
Lodging and transportation for orientation day, paid by Nationwide cargo
3,000 miles available weekly for solo
5,000-7,000 miles available weekly for teams
Type of Freight:
Reefer
Dry van
100% no touch
Trucking route:
48 states
No NY island
Home Time policy:
Three weeks out/ three days home
Take the truck home on your days off
Job Type: Full-time

Pay: $100,000.00 per year

Job Type: Full-time

Pay: $100,000.00 per year

Work Location:
On the road
Work Remotely:
No","['$59K - $65K', '$83K - $89K']"
86,Proposition Sales Specialist Enterprise Platform,"Refinitiv
3.6
★","New York, NY",Full-time,Sales Representative,Information Technology,10000+ Employees,"['Lead Software Engineer', 'Customer Success Manager', 'Director', 'Senior Software Engineer', 'Account Manager']","REF_US

Proposition Sales Specialists are accountable for executing Refinitiv`s strategy for growth and market differentiation. They work with and provide market insight to our Product Management, Sales Rediness and Account Management teams to support execution of this strategy. You will lead on deals aligned to this proposition and serve accounts within a defined territory. The role works closely with internal partners to proactively drive gross sales and revenue. This role sits within the Enterprise Platform Proposition Sales Specialist Team will focus on Data Feed solutions primarily into Corporates and Financial Institutions for Front, Middle and Back Office operations.

Role Responsibilities
Structure, negotiate and close deals
Proactively identify pipeline opportunities, governed by the Account Managers
Develop the sales strategy for their proposition within their territory
Provide insights and share Refinitiv thought leadership on their proposition with customers
Deliver customer demonstrations on their specific propositions

Qualifications and Experience Required

Must have deep workflow knowledge of & experience in dealing with different departments such as Trading, Capital Markets, Research, Compliance, Back office, Funds, Reporting etc.
Demonstrate great understanding of using real-time pricing, reference data and time-series events for investment decision making for buy-side and sell-side market players
World class selling skills (identify, develop, & articulate proposition/ consultative selling) as a “hunter”
Strong sales ‘closer’
Significant Product and Workflow Expertise (e.g. knowledge of financial modeling, Excel, MS Office); knowledge of trading floor tech / data apps
Creative problem solver and good sales ideation skills
Presentation skills (verbal & written)
Strong interpersonal skills
Ability to coordinate and execute a sales plan
Executive presence
5+ years of industry, sales or market experience
Consistent track record in a quota bearing sales environment
Experience selling to C- level executives
The Real-Time and PRS Proposition elements include:
Real-Time, Intraday, End of Day & Time Series Pricing Data (all asset classes)

We care about benefits too.

We support our colleagues’ wellbeing with inclusive benefits. So that's support for physical, financial, mental and environmental health, paid time off to volunteer, consumer discounts & savings and so much more. All of which are tailored to your needs and may vary by location. For more details talk to your recruiter.

Our fast paced and supportive environment is only possible due to determined, autonomous problem solvers who love our high performance culture. And as a global business, Refinitiv relies on diversity of culture and thought to deliver on our goals. So we seek hardworking, qualified employees in all our operations around the world regardless of race, color, sex/gender, including pregnancy, gender identity and expression, national origin, religion, sexual orientation, disability, age, marital status, citizen status, veteran status, or any other protected classification under country or local law. Refinitiv is proud to be an Equal Employment Opportunity/Affirmative Action Employer providing a drug-free workplace.

Refinitiv makes reasonable accommodations for applicants and employees with disabilities. If an accommodation is needed to participate in the job application or interview process, to perform essential job functions, and/or to receive other benefits and privileges of employment, please contact us to request an accommodation.

Be the breakthrough, activate your future and shape ours.","['$131,736', '$82,288', '$163,898', '$113,672', '$67,709']"
87,Dental Assistant,"Allison T. Moses, DDS","New York, NY",Full-time,Dental Assistant,N/A,N/A,[],"Dental assistant needed for busy General Dentist midtown office. Must have experience with perio and endo assisting, digital x rays, and impression taking. 5 years experience + desired. Searching for an outgoing personality who is a team player.

Job Type: Full-time

Experience:
Dental Assisting: 5 years (Preferred)
Location:
New York, NY 10022 (Preferred)
Clinical Setting:
General Dentistry
Dental Specialty:
Endodontics
Periodontics
CDA/RDA License Required:
No",[]
88,Freight Handler,"FedEx Freight
3.7
★","Monmouth Junction, NJ",Part-time,Package Handler,Transportation & Logistics,10000+ Employees,"['Dock Worker', 'City Driver', 'Operations Supervisor', 'Clerical', 'Driver']","Begin your career with the FedEx Team and be a part of one of the most well-known and reliable companies in the world.
RESPONSIBILITIES: *
Perform freight handling using appropriate motorized and manual equipment, including but not limited to forklift, pallet jack and hand truck
Verify documentation matches freight description (e.g. type, weight, hazardous materials), using current electronic or manual system
Secure freight inside trailers using appropriate tools and supplies (e.g. pallets, straps, rope)
Recoup/repair damaged freight when necessary
Verify and complete required documentation and reports
Assist customers with freight and freight documentation as needed
Perform hostling duties if required
Comply with all applicable laws/regulations, as well as company policies/procedures
Perform other duties as required
QUALIFICATIONS: *
High school diploma or equivalent preferred
Must be at least 18 years of age
Prior experience in warehousing, freight handling and/or forklift operations preferred
If hostler/yard mule duties required, experience is preferred
Ability to count and perform basic math, with or without a calculator
Basic written and verbal communication skills
Ability to lift/carry hand freight of varying weights several times a week, to lift dock plates weighing approximately 100 pounds, and to open trailer doors requiring approximately 75 pounds of lift force, up to several times per day or more
Ability to work independently and/or as a team member
Previous dock/warehouse experience preferred
Additional requirements can be found on the website below.
Interested candidates please click on Apply on Company Site or at: *
_https://careers.fedex.com/freight_

Search by Job #441668BR

As a member of the FedEx Corp. family of companies, FedEx Freight is a leading U.S. provider of next-day and second-day regional LTL freight services.

Equal Opportunity Employer, including disabled and vets

Job Type: Part-time

Work Location:
One location","['$18.59/hr', '$72,352', '$60,693', '$35,998', '$52,872']"
89,"Package Sorter - Rotating Schedule, Part-time","Amazon Workforce Staffing
3.9
★","Jersey City, NJ",Part-time,Sorter,Information Technology,10000+ Employees,"['Software Development Engineer II', 'Software Development Engineer', 'Software Development Engineer I', 'Warehouse Associate', 'Area Manager']","Fresh Warehouse Team

Location: Avenel NJ 07001
Job opportunities vary by location. We update postings daily with open positions.
Hourly pay rate: Earn min pay rate $15.75 – max pay rate $17.25

Immediate openings available now.
Amazon remains open as an essential business to serve our communities delivering critical supplies directly to the doorsteps of people who need them. Find out what Amazon is doing to provide a safe environment for employees at this time on our COVID-19 FAQ page.
Stay active during your shift in this fast-paced warehouse environment. In this job, you’ll work in a small warehouse. This space is different than our other bigger warehouse buildings, it’s more like the size of a grocery store.

Here are some of the things you’ll get to do:
Use smartphone, manage apps, and scan bar codes
Get grocery orders prepared for delivery
Put new grocery inventory away
Check for order quality
Rotate tasks throughout week
Communicate directly with customers both verbally and in writing
Amazon Fresh offers customers everything from cereal to ice cream. This means that you will work in freezer and refrigerated spaces for parts of your shift. It can be cold, but we’ll provide you with the right gear to stay warm!
For full-time job, which means you’ll work a steady schedule for 40 hours each week. This may include weekends and/or night shifts.
For a part-time role with a set weekly schedule. You will work up to 25 hours each week. This may include weekends and/or night shifts.
For a flexible role you can choose your shifts to create a schedule that works for you.
Candidates must be 18 years or older with the ability to read and speak English for safety purposes.

Reasons you’ll love working at Amazon:
Health and safety are a top priority with all of our roles and sites. We continue to consult with medical and health experts, and take all recommended precautions in our buildings and stores to keep people healthy.
Earn more: You can expect a competitive wage and reliable pay check when you work for Amazon.
Reliable hours: We will give you a stable schedule you can count on.
Benefits: Our range of benefits can include health care starting on day one, employee discounts, 401(k) savings plans, paid time off and more! Find out which benefits you'll get after you choose your role with us.
Career development: Many of our entry-level employees become leaders in operations, HR, and other areas. See where your Amazon journey can take you.
Teamwork environment: Work is more fun when you’re part of a great team.
Basic qualifications:
High school, GED, or equivalent diploma

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.","['$148,949', '$125,679', '$119,982', '$15.43/hr', '$60,276']"
90,Over Night Oil Delivery Driver,"Moyer Indoor Outdoor
4.6
★","Souderton, PA",Full-time,Delivery Driver,Retail,201 to 500 Employees,"['Field Service Technician', 'Construction', 'HVAC Technician', 'Pest Control Technician', 'HVAC Service Technician']","We are seeking a Retail Oil Delivery Driver to join our team at Moyer Indoor Outdoor for the upcoming season. *Responsibilities: *

· Maintain accurate delivery records

· Handle a route to and from south Philadelphia

· Drive in a safe manner at all times
Qualifications: *
· CDL A with Hazmat and tanker endorsements and Airbrake Exemption

· Must be able to drive a manual transmission truck

· Clean driving record

· Ability to handle physical workload of the job

· Deadline and detail-oriented

Looking for full time year round work? Great! We can have you move to our pool and spa division for the spring and summer months and then transition back to oil when the chill sets in. Want your summers off? Perfect! Join our team as a seasonal oil driver. All employees enjoy generous discounts on Moyer Products and Services!

Moyer is a drug free company and this position follows the DOT guidelines for drug and alcohol testing.

Job Type: Full-time

Pay: $19.00 - $30.00 per hour

Benefits:
401(k)
Dental insurance
Employee discount
Flexible schedule
Health insurance
Paid time off
Retirement plan
Schedule:
Home daily
Monday to Friday
Night shift
Experience:
driving: 1 year (Preferred)
commercial driving: 1 year (Preferred)
License:
CDL (Required)
Work Remotely:
No","['$30 - $32', '$38K - $41K', '$17 - $19', '$15 - $16', '$32 - $35']"
91,Sales Support Specialist,Green State Energy,"Holmdel, NJ",Full-time,Sales Support Staff Member,N/A,1 to 50 Employees,['Sales Support'],"Green State Energy is an up and coming solar company looking for a sales support specialist to join our team! You will provide support to sales representatives and will provide overall customer care. Our ideal candidate is an experienced professional with knowledge of sales and customer service best practices. We expect you to perform well in a team environment and have exceptional people skills. Ultimately, you should be able to contribute to creating and maintaining good customer relationships and ensuring smooth sales team operations.
Responsibilities*
Provide overall customer care via touchpoints and regular follow up as needed
Monitor and assist resolving customer issues
Manage sales tracking tools and report on important information
Review customer accounts to ensure excellent customer service and customer experience
Suggest sales process improvements
Skills*
Proven work experience as a Sales support specialist or Sales support associate
Proficiency with MS Office Suite, particularly MS Excel
In-depth understanding of sales principles and customer service practices
Excellent communication skills
Analytical and multitasking skills
Teamwork and motivational skills
Solar experience is a plus!
Job Type: Full-time

Benefits:
Health insurance
Schedule:
Monday to Friday",['$12.32/hr']
92,Meals on Wheels Driver,"Daughters of Israel
3.2
★","West Orange, NJ",Part-time,Driver,N/A,1 to 50 Employees,"['Registered Nurse', 'Staff RN', 'CNA', 'Lcsw', 'Manager Of Kitchen']","We are looking for a Driver to assist with delivery of Meals on Wheels to the local community and shuttle services as necessary.
Responsibilities*
Drive facility vehicle to and from Erie Loop to transport staff on a daily basis.
Drive and deliver Meals on Wheels to approximately 30 clients in the Essex County Area.
Skills*
Ability to work independently
Helpful with customer service orientation
Prioritization and time management skills
Professionalism along with speed and attention to detail
Knowledge of English language
Requirements
Current Active CDL B License with Passenger designation
Current Medical Certificate for CDL Drivers
Ability to submit and pass NJ Drivers License background check.
Job Types: Full-time, Part-time

Pay: $15.00 per hour

Benefits:
401(k)
Dental insurance
Disability insurance
Flexible spending account
Health insurance
Life insurance
Paid time off
Retirement plan
Vision insurance
Schedule:
Monday to Friday
COVID-19 considerations:
We provide PPE for all staff to safely perform their jobs including masks, gloves, etc.

Experience:
CDL Driving: 1 year (Required)
License/Certification:
NJ CDL B License (Required)
Pay Frequency:
Bi weekly or Twice monthly
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
No","['$28 - $31', '$29 - $32', '$13 - $14', '$46K - $49K', '$24 - $26']"
93,"HVAC Installation Departments: Electrical, Piping & Sheetmetal","AMHAC
3.2
★","Eastchester, NY",Full-time,Installer,Business Services,51 to 200 Employees,"['Electrical Engineer', 'Installation Technician', 'Telephone Sales']","Attention to Detail: HVAC systems can be precise mechanisms. Careful observation is needed

Dexterity: HVAC installers need good manual dexterity to manipulate small parts and reach into small spaces

Mechanical Skills: HVAC installers work with complicated machines. Understanding the pieces and tools needed to maintain and install these machines is crucial

Strength: HVAC installers need strength to lift heavy parts and equipment

Time-Management: HVAC installers make a lot of house calls. Being able to schedule jobs and keep timely appointments is important to getting repeat work

Troubleshooting: There are many parts within HVAC systems. Being able to ascertain the root cause of a problem and test solutions is important

Customer Service: Many HVAC installers need to work direct with homeowners and building owners, maintenance workers and more. Being friendly and approachable and a good communicator is a needed skill.

Job Type: Full-time

Benefits:
401(k)
Dental Insurance
Disability Insurance
Employee Discount
Health Insurance
Life Insurance
Paid Time Off
Parental Leave
Referral Program
Retirement Plan
Vision Insurance
License:
Driver's (Required)
Additional Compensation:
Tips
Bonuses
Store Discounts
Work Location:
Multiple locations
Pay Frequency:
Weekly
This Company Describes Its Culture as:
Team-oriented -- cooperative and collaborative
Stable -- traditional, stable, strong processes
Outcome-oriented -- results-focused with strong performance culture
Schedule:
Monday to Friday
Overtime
Company's website:
www.amhac.com
Benefit Conditions:
Waiting period may apply","['$69,780', '$20 - $22', '$9 - $10']"
94,Workplace Pop-up Clinician,Eden Health,"New York, NY",Full-time,Clinician,Health Care,51 to 200 Employees,['Clinician'],"About Eden Health*
Eden Health provides simple, tech-enabled primary care sold directly to employers. Our users enjoy immediate access to care over the Eden Health app, in our private clinics, and directly in their offices. We have transformed healthcare from an unpleasant necessity to a delightful experience focused on improving the lives of patients. The proof is in the outcomes; when companies work with us they have healthier workforces, increased productivity, and reduced healthcare costs.
What you will be doing*
As a Workplace Pop-up Clinician, you will be a member of Eden Health’s first dedicated pop-up clinical team. The pop-up experience allows employers to turn a conference room into a medical office for the day. This is one of the ways that Eden Health brings primary care, preventive care, and testing services to employees at their workplace. Pop-up clinics create convenient access highly valued by the patients. For many patients, a pop-up clinic can be their first touch point with a medical professional in many years. As a Workplace Pop-up Clinician, you will represent Eden Health to our clients and their employees while delivering high-quality care at the workplace. This is a full time role.

What success looks like
Provide exceptional in-person primary care and urgent care at our worksite popup clinics
Provide follow-up care through our telehealth platform and handoff to primary care teams when needed
Collect lab specimens and administer point-of-care tests: draw blood, collect urine samples, swab throats, etc.
Educate patients on the benefits of primary care and Eden Health membership
With the assistance of a member of our operations team, help set up and break down the pop-up clinics
Collaborate with our operations and product teams to improve our workflows and processes
Contribute to the development of novel healthcare solutions that can be offered at the worksite
Represent Eden Health at client site locations in the greater New York City area
Travel to Eden Health client site locations in the greater New York City area with the possibility of travel to other states as needed
What you will bring
2+ years of outpatient primary care or urgent care experience
A passion for delivering holistic primary care and going above and beyond to delight your patients
A team-oriented approach to health care
Positive attitude and caring presence with patients
The desire to be part of a fast-moving, cutting-edge team
Ability to lift and carry packs of pop-up supplies and equipment of up to 20 pounds
Current New York Physician Assistant/Nurse Practitioner License
Why Eden Health?
Fast-growing startup backed by leading venture capital firms Greycroft, 645 Ventures, PJC and others
Exciting product in one of the largest and fastest growing markets in the country
Mission-driven culture passionate about improving access to healthcare for employees and their families
Competitive salary and equity compensation package
Great benefits including medical, dental, vision insurance, and commuter benefits
Generous PTO and parental leave
Flexible work schedule
Awesome team with a great camaraderie - we work hard and have lots of fun!
Eden Health is an equal opportunity employer and encourages all applicants from every background and life experience without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.

Job Type: Full-time

Pay: $105,000.00 - $135,000.00 per year

Benefits:
Health insurance
Paid time off
Parental leave
Medical Specialty:
Primary Care
Schedule:
8 hour shift
Monday to Friday",['$16.40/hr']
95,"Benefits Outreach Coordinator (Pension, Health/Welfare, Call Center )","Church Pension Group Services Corporation
3.1
★","New York, NY",Full-time,Benefits Coordinator,Insurance,201 to 500 Employees,"['Data Scientist', 'Claims', 'Customer Service Representative', 'Manager', 'Senior Software Engineer']","The Benefits Outreach Coordinator will oversee and manage life events in support of the Pension, Health and Welfare and Church Life services. The Benefits Outreach Coordinator ensures the adherence to procedures and policies ensuring the effective delivery of benefits to eligible Participants, Administrators, Bishops and other Diocesan leadership. The job also requires the candidate to collaborate with various areas of the organization in order to complete required tasks.

QUALIFICATIONS

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

The position requires a hands-on, service-oriented individual who meets the following qualifications:

Intermediate knowledge of Microsoft Excel, and Word.
Excellent analytical, communication (verbal and written), interpersonal and organizational skills.
Experience with Pension and Health & Welfare benefits plans.
Ability to expeditiously process all transactions and provide follow-up as required.
With minimal supervision must plan and accomplish assigned tasks and goals.
Strong knowledge of the organizational structure and functional responsibilities of the office, interrelated areas and organizations, and workflow procedures.
Demonstrates exemplary organizational acumen.
Ability to establish and maintain effective and cordial relationships with parish/ diocesan administrators.
Ability to effectively communicate, both orally and written.
Demonstrate the ability to multi-task and be responsive to client needs as they arise.
Understanding of the nature and policy of Episcopal Church is a plus.
Ability to work as a team member and achieve team goals in a “customer-focused” environment.

ESSENTIAL DUTIES AND RESPONSIBILITIES include the following. Other duties may be assigned.

Follow through, end-to-end, from inception of all Life Events including but not limited to marriage, divorce, birth of a child, adoption, death, salary change, and new assignment.
Research and resolution of complex situations. Provides a full range of client services for more complex situations, using originality and ingenuity in determining the necessary course of action for each client within reasonable plan guidelines
Ability to expeditiously process and manage all transactions, transactional systems (such as CRM). Assures accurate documentation for all activities and provides follow up as required.
Understands all benefit calculation processes and its data requirements. Ensures that all transactions affecting participant records are processed on a timely basis.
Utilizes transactional system(s) to obtain necessary information to answer questions and provide information to members, administrators and various company personnel. Handles benefit issues and questions related to life events, and plan issues. Initiates changes, corrections, or other actions. Documents all activity and maintains accurate records.
Work within the plan guidelines in identifying and resolving issues.
Phone resource on the dedicated Administrator phone line.
Research and perform Root Cause Analysis on customer satisfaction survey responses in various client surveys.
Handles escalated calls from angry/irate callers to resolution.
Develops and maintains relationships with key individuals.
Generate and maintain data system for purposes of tracking and data reporting for parish/diocesan administrators.
Conducts QA on work items completed by team members to ensure accuracy in a peer-to-peer review.

EDUCATION and/or EXPERIENCE

BA\BS or combination of experience and education.
Minimum three or more years of professional level experience with health and welfare benefits and pension plans.
Experience in technology platforms related to updating and accessing transactional systems/data.

Keywords: Call Center, Customer Service, Client Services, Health Benefits, Pensions, DB Plan, DC Plan, Contact Center

In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire. Please understand that, as a general policy, CPG does not sponsor visas.

EOE: Minorities/Female/Disability/Vet/Sexual Orientation

If you are a CPG employee, please use your CPG email address when creating your profile to apply.","['$108K - $139K', '$56K - $62K', '$58K - $62K', '$85K - $92K', '$10K - $10K']"
96,People Operations Generalist,"Teachers Pay Teachers
4.9
★","New York, NY",Full-time,Hr Generalist,Information Technology,51 to 200 Employees,"['Software Engineer', 'Senior Software Engineer', 'Software Engineer III', 'Software Engineer()', 'Specialist']","About Us

At Teachers Pay Teachers (TpT), we're unlocking the power of educator-created content. More than 85% of U.S. teachers come to TpT every year to get teacher-tested, engaging, and rigorous materials. What began as a humble exchange for teachers looking to share lesson plans has since exploded into a massive online marketplace where teachers have created 4 million resources for all aspects of PreK-12 education. More than six million educators worldwide (including teachers, administrators, and parents) have downloaded TpT resources more than a billion times. According to Fast Company, in 2019, Teachers Pay Teachers is one of the top 50 Most Innovative Companies in the world! If you haven't heard of TpT yet and want to learn more, just ask a teacher.

The Role

We're looking for a People Operations Generalist to join our team to lead and scale our HR operations across the organization, serving as a trusted resource and strategic partner for our team and the entire company. The People Ops team at TpT is a close-knit, collaborative crew, moving the business forward by fostering a diverse and inclusive environment where everyone can do their best work.

Responsibilities
Scale and iterate on current HR processes, crafting a superior employee experience that supports diversity, equity, and inclusion while also reflecting solid HR compliance and best practices
Plan and execute benefits and compensation to create a compelling, inclusive, and cost-effective package
Own the HRIS (Namely) with respect to data integrity, reporting, payroll administration and ongoing development of the platform
Oversee and manage People Ops processes across the employee lifecycle including onboarding, performance management, compensation, terminations; partner closely with Finance to ensure timely, accurate administration of benefits, compensation, insurance and leave programs.
Navigate complex employee relations issues quickly and with good judgment
Craft policy recommendations and own employee policies, procedures, and the employee handbook in partnership with our legal team
Partner with our legal team to ensure supportive immigration process
Coach managers and senior leaders to provide targeted support and navigate complex situations
Work as part of a team to build an impactful culture that reflects TpT's values, mission, and vision
Qualifications
Bachelor's degree
6+ years experience in an HR-related role
Deep functional HR expertise and knowledge of current HR trends
Demonstrable knowledge of basic HR and Immigration law (FMLA, ADA, visas)
Experience using and maximizing HRIS
Experience with benefits planning and administration
Excellent verbal and written communication skills
Ability to deal with and resolve complex interpersonal situations and questions
Ability to deal with ambiguity and be adaptable as situations require
Extracurriculars
Parental leave for both mothers and fathers to be able to take some quality time in bonding with their new addition to their family
Comprehensive Medical & Dental Benefits
Mother's Room
Quiet Room
Company Events (Bring Your Child to Work Day, Field Day, Camp TpT, Hackathons etc.)
Here at TpT we value Diversity & Inclusion and encourage people to bring their most authentic selves to work. We cultivate an environment where people are recognized and celebrated for their individuality.

Any TpT applicant who requires reasonable accommodations during the interview process should contact the TpT People Ops Team (accommodations@teacherspayteachers.com) to make the need for an accommodation known.

Finally, if you're a California resident, California law requires that we provide you notice about the collection and use of your personal information. We encourage you to read it carefully. You can find our full notice here.","['$129,459', '$148,840', '$141,672', '$8K - $8K', '$84K - $90K']"
97,Community Associate,"Prose
4.6
★","Brooklyn, NY",Full-time,Community Assistant,Consumer Services,51 to 200 Employees,"['Production Supervisor', 'Package Handler', 'Growth Marketing Analyst', 'Order Packer']","At Prose, we don't believe in ""one-size-fits-most."" We create custom hair care that's inclusive to all hair types, needs and preferences. Each of our hair care products is customized to a person's hair needs based on the results from an online consultation. The individual data is processed through a proprietary algorithm and made-to-order in the Prose lab using natural active ingredients. Marrying emerging technologies with the best in beauty, Prose is truly creating something special.

This role is part of the Customer Service Team, and is an opportunity to join a fast-growing startup with an energetic team working to transform the way people think about and shop for hair care. We're looking for talented problem solvers who lead with passion and who face any task with a positive mindset.

Role Focus
Help to cultivate best in class level of customer service by responding to all comments posted across paid & organic social posts (Facebook, Instagram, Twitter, TikTok, YouTube) and the Prose blog
Become an expert on our experience, our product, our ingredients, and our customer.
Troubleshoot customer issues quickly and efficiently, minimizing the number of steps a customer must take to resolve an issue
Tag & track customer feedback and requests, communicating all urgent customer needs to relevant departments
The Ideal Candidate
Is passionate about what we do & is excited about connecting with customers, with experience in customer service and/or community management
Has the ability to learn quickly and to work in a fast-paced, ever-changing environment
Possesses stellar problem solving and critical thinking skills; is comfortable working independently
Has superb attention to detail, strong organizational skills, and impeccable written & verbal communication skills
Stays calm under pressure and has a positive, can-do, team-focused mentality there is no task that is too small!
Understand & Embody our Prose Values

Intentional Inclusivity
We know the best ideas come from open minds and willingness to listen. While our products cater to the individual, an invitation into our process is always open to our community.
We value our differences and diverse backgrounds by communicating openly, managing with transparency and striving to understand one another's perspective. It's a key ingredient to our innovation.
Connected Collaboration
Our strength as a group will outlast our efforts as individual contributors. With offices across countries (and across boroughs) staying inventive and agile deepens our clear vision and consistent communication.
We stay in a spirit of entrepreneurial collaboration: We do not have consensus at all times, but we trust one another to work toward our common goals. Our success is an expression and result of our progressive and gratifying teamwork.
Driven, Together
We value ownership and coaching that encourages employees to think constructively and creatively about the business. We view employees as leaders and individuals who are accountable, resourceful and responsible. Anyone and everyone is encouraged to lead.
We recognize that in order to continue thinking one step ahead, we will need to try new things. We strive to provide an open environment that accepts this truth making space for new ideas to emerge.
Humanity Always
We assume good intentions in every interaction keeping ourselves accountable for the climate we create. We seek to understand our co-workers through this lens of conscious bienveillance, authenticity and fellowship.
We operate with the intention of preserving resources, creating an environment we can all live in--for our business and the world. Sustainable care is essential to our ethos as an organization. We take a mindful approach to how we think about our people (employees) and our planet.
Perks & Benefits

At Prose we value our employees and their well being. As a growing business we aim to stay up to par on the latest perks and benefits for all of our eligible team members. Some of these include but are not limited to:
A competitive and flexible PTO policy
Competitive compensation package (base salary, target bonus and equity)
Company sponsored health care plan ( medical, dental and vision plans)
401k + matching
Monthly fitness reimbursement
Commuter Benefits & Electric Bike Sponsorship
Free lunch in office, weekly and an abundance of office snacks","['$24 - $26', '$15 - $16', '$59K - $64K', '$19 - $21']"
